رقم,الاسم بالعربية,الاسم بالإنجليزية,الشرح بالعربية,explanation in English
1,استعارة / استعارة تمثيلية,Metaphor / Analogy based on metaphor (istiʿārah tamthīliyyah),هي استعارة تأتي في جملة كاملة لا يكتمل معناها المجازي إلا بجميع أجزائها بحيث يؤدي حذف أي جزء إلى تغيير المعنى المقصود.,"It is a full metaphorical sentence whose figurative meaning depends on all its components, and removing any part significantly alters the intended meaning."
2,استعارة بالكناية,Metaphor based on periphrasis (istiʿārah bi-l-kināyah),هي استعارة تتحوّل فيها العبارة من كناية ذات علاقة واقعية إلى معنى مجازي عندما تُستخدم في سياق لا يمكن حمله على الحقيقة.,It is a metaphor formed when a phrase that functions as a periphrasis in one context becomes figurative in another where its literal meaning is impossible.
3,استعارة حديثة / استعارة تصريحـيّة,New metaphor (istiʿārah ḥadīthah / istiʿārah taṣrīḥiyyah),هي استعارة يُستبدل فيها اسم بشيء مشابه له في صفة معيّنة مع غياب الاسم الحقيقي في الكلام.,It is a metaphor in which a noun replaces another similar noun that is absent from the sentence due to a shared attribute.
4,استعارة فعلية,Verb metaphor (istiʿārat fiʿl),هي استعارة يُنقل فيها الفعل عن معناه الأصلي ليُسند إلى غير ما وُضع له لإيصال معنى مجازي.,It is a metaphor in which a verb is transferred from its original meaning and applied to something else to convey a figurative sense.
5,استعارة قديمة / استعارة مكنية / استعارة تخييلية,Old metaphor (istiʿārah qadīmah / istiʿārah makniyyah / istiʿārah takhyīliyyah),هي استعارة يُسند فيها اسم لشيء من مجال مختلف تمامًا عن مجاله الحقيقي لإيصال معنى مجازي جديد.,It is a metaphor in which a noun is attributed to something from a completely different domain to create a figurative meaning.
6,استعارة مركّبة,Compound metaphor (istiʿārah murakkabah),هي استعارة تُدمج فيها صورتان مجازيتان مختلفتان لتكوين صورة واحدة منسجمة متكاملة.,It is a metaphor in which two different figurative images are combined to form one coherent and unified picture.
7,استعارة مزدوجة,Paired metaphor (istiʿārah muzdawajah),"هي استعارة يُستخدم فيها أكثر من عنصر مجازي مترابط داخل البيت، حيث تتداخل عدة موضوعات أو صور لتكوين بناء بلاغي واحد.","It is a metaphor in which multiple interconnected figurative elements appear together in a verse, combining several topics or images into one rhetorical structure."
8,اشتقاق,Derivation (ishtiqāq),هو تكوين كلمات متعددة من جذر واحد بحيث ترتبط معانيها ببعضها دلاليًا.,"It is the formation of multiple words from a single root, resulting in terms that share related or connected meanings."
9,التفات,Redirection (iltifāt),هو تغيير الضمائر مع بقاء المرجع واحدًا لإحداث تنويع بلاغي في الخطاب.,It is the shift of pronouns while referring to the same entity to create rhetorical variation in the discourse.
10,تجريد,Branching (tajrīd),هو أن يخاطب الشاعر نفسه بضمير المخاطب بدلًا من المتكلم لإبراز المعنى بطريقة بلاغية.,It is when the poet addresses himself using the second-person pronoun instead of the first to create a rhetorical effect.
11,ترديد,Repetition (tardīd),هو تكرار كلمة بمعناها نفسه مع إسنادها في كل مرة إلى فاعل أو مفعول مختلف لتأكيد المعنى.,It is repeating a word with the same meaning while assigning it each time to a different grammatical subject or object to reinforce the meaning.
12,تشبيه,Simile (tashbīh),هو ربط بين شيئين لإبراز وجه الشبه بينهما بأداة أو بدون أداة.,"It is the comparison of two elements to highlight a shared quality, with or without an explicit marker."
13,تشبيه بالكناية,Simile based on periphrasis (tashbīh bi-l-kināyah),هو تشبيه يعتمد على استعمال كناية في طرف التشبيه لإيصال المعنى بطريقة غير مباشرة.,"It is a simile in which one or both components are expressed through periphrasis, conveying the comparison indirectly."
14,تشبيه تمثيلي,Analogy based on simile (tashbīh tamthīlī),هو تشبيه يكون فيه المشبَّه به جملة كاملة لا يكتمل المعنى البلاغي إلا بجميع أجزائها.,It is a simile in which the compared element is a full sentence whose meaning depends on all its parts.
15,تشبيه خيالي,Imaginative simile (tashbīh khayālī),هو تشبيه يُبنى على عنصر غير موجود في الواقع ويعتمد على الخيال لإيصال الصورة.,It is a simile in which one of the compared elements has no real existence and relies on imagination to convey the image.
16,تشبيه ضمني,Implied simile (tashbīh ḍimnī),هو تشبيه تُفهم علاقته من السياق دون ذكر أداة التشبيه أو طرفيه بشكل مباشر.,It is a simile whose comparison relationship is understood from the context without explicitly stating its components.
17,تشبيه غير بلاغي,Non-rhetorical simile (tashbīh ghayr balāghī),هو تشبيه يربط بين شيئين متماثلين دون إضفاء قيمة بلاغية أو صورة جديدة.,It is a simile that links two similar subjects without adding rhetorical value or creating a new image.
18,تشبيه قصير,Short simile (tashbīh qaṣīr),هو تشبيه يكون فيه وجه الشبه كلمة واحدة أو تركيبًا قصيرًا جدًا.,It is a simile in which the attribute of comparison is a single word or a very short construction.
19,تشبيه مركّب,Compound simile (tashbīh murakkab),"هو تشبيه يجمع صورتين كاملتين، بحيث يقابل كل طرف من أطراف الصورة الأولى نظيره في الصورة الثانية.","It is a simile composed of two complete paired images, where each element in the first image corresponds to its counterpart in the second."
20,تشبيه مطوّل,Prolonged simile (tashbīh muṭawwal),هو تشبيه يُزاد فيه على المشبَّه به وصف أو تفصيل إضافي لا يؤثر حذفه في المعنى الأساسي للتشبيه.,It is a simile in which the compared element is extended with extra details that can be removed without changing the core comparison.
21,تشبيه مقلوب,Reversed simile (tashbīh al-ṭard / tashbīh al-ʿaks),هو تشبيه يتم فيه عكس ترتيب المشبّه والمشبَّه به لإبراز العلاقة بطريقة غير معتادة.,It is a simile in which the roles of the compared elements are reversed to highlight the relationship in an unusual way.
22,تضمين (انقطاع البيت / التضمين الشعري النحوي),Enjambment (taḍmīn),هو أن يكتمل المعنى أو التركيب النحوي للبيت في البيت الذي يليه بحيث يصبح البيت الأول غير مفهوم وحده.,"It is when the grammatical or semantic meaning of a verse continues into the next verse, making the first verse incomplete on its own."
23,تضمين شعري,Poetry quotation (taḍmīn),هو إدخال بيت أو جزء من بيت من قصيدة أخرى داخل القصيدة لإضافة معنى أو دعم الفكرة.,It is the insertion of a full verse or part of a verse from another poem into a poem to enrich or support the meaning.
24,تقسيم,Division (taqsīm),هو أسلوب يُعالج أغلب أجزاء الموضوع بذكر عناصره المتعددة ضمن سياق واحد لإحاطة المعنى من جوانبه المختلفة.,It is a device that covers most components of a subject by mentioning its different aspects within the same context to present a comprehensive view.
25,تمثيل مبنيّ على الاستعارة التخييلية,Analogy-based imaginary metaphor (tamthīl mabnī ʿalā al-istiʿārah al-takhyīliyyah),هو استعارة تُبنى فيها صورة تمثيلية جديدة اعتمادًا على استعارة قديمة تُعدّ أساسًا للتشبيه المجازي.,It is a metaphor in which a new analogical image is constructed based on an earlier metaphor that serves as its figurative foundation.
26,جناس / تجنيس,Paronomasia (jinās / tajnīs),هو تشابه صوتي بين كلمتين تختلفان في المعنى لإحداث تأثير بلاغي.,It is the use of two acoustically similar words that differ in meaning to create a rhetorical effect.
27,جناس تام,Perfect paronomasia (jinās tāmm / mustawfā),هو تجانس لفظي تام بين كلمتين في النطق مع اختلافهما في المعنى.,It is two words that sound exactly the same while having completely different meanings.
28,جناس تصريف,Diversifying paronomasia (jinās taṣrīf),هو تجانس لفظي بين كلمتين تشتركان في جميع الحروف ما عدا حرفًا واحدًا مع بقاء الترتيب والنطق.,"It is a paronomasia between two words that share all letters except one, keeping the same order and pronunciation."
29,جناس قلب,Metathetic paronomasia (jinās qalb),هو تجانس يقوم على كلمتين مكوّنتين من الحروف نفسها لكن بترتيب معكوس.,It is a paronomasia formed from two words that contain the same letters arranged in reverse order.
30,جناس محرَّف,Consonantal paronomasia (jinās muḥarraf),هو تجانس بين كلمتين تتطابق حروفهما وترتيبها ويختلف نطقهما بسبب اختلاف الحركات.,It is a paronomasia where two words share the same letters in the same order but differ in pronunciation due to different vocalization.
31,جناس مصحّف,Graphic paronomasia (jinās muṣaḥḥaf),هو تجانس بين كلمتين تتطابق فيهما أشكال الحروف وتختلف فيهما العلامات الإعرابية أو عدد النقاط.,It is a paronomasia where two words share identical letter shapes but differ in their diacritics or dot placement.
32,جناس مطلق,Free paronomasia (jinās muṭlaq),هو تجانس ظاهري بين كلمتين تختلفان في المعنى والجذر رغم تشابههما الصوتي الجزئي.,It is an apparent paronomasia between two words that differ in meaning and root despite partial phonetic similarity.
33,جناس ناقص,Incomplete paronomasia (jinās nāqiṣ),هو تجانس لفظي بين كلمتين تختلفان في عدد الحروف مع تطابق باقي الحروف في النطق والترتيب.,"It is a paronomasia where the two words differ in at least one letter, while the remaining letters match in order and pronunciation."
34,حسن التعليل,Fanciful cause (ḥusn al-taʿlīl),هو إسناد ظاهرة إلى سبب جميل غير حقيقي لإضفاء لمسة بلاغية على المعنى.,It is attributing a phenomenon to an elegant but false cause to create a rhetorical and aesthetic effect.
35,ردّ الأعجاز على الصدور,Echo / echoing the rhyme at the beginning of the line (radd al-aʿjāz ʿalā al-ṣudūr),هو إعادة الكلمة الأخيرة من البيت في بدايته أو في صدر الشطر التالي بشكل تام أو بصيغة من جذرها لخلق ترابط صوتي.,"It is repeating the final word of a verse at the beginning of the next hemistich or verse, either fully or through a related form, to create sound cohesion."
36,طباق,Antithesis (ṭibāq),هو الجمع بين كلمتين تحملان معنيين متضادين لإبراز التناقض في المعنى.,It is the use of two words with opposite meanings to highlight contrast.
37,طباق إيجاب,Positive antithesis (ṭibāq ījāb),هو الجمع بين كلمتين تحملان معنيين متضادين بشكل صريح لإبراز التضاد.,It is the pairing of two words with explicitly opposite meanings to highlight contrast.
38,طباق بالمعنى,Notion antithesis (ṭibāq bi-l-maʿnā),هو تقابل بين كلمتين لا تعدّان متضادتين لغويًا لكنهما تتعارضان في السياق لإبراز معنى ضدّي.,It is an antithesis between two words that are not literal opposites but become oppositional through the contextual meaning.
39,طباق سلب,Negative antithesis (ṭibāq salb),هو تقابل بين كلمتين متشابهتين أو مشتقتين من الجذر نفسه حيث تُسبق إحداهما بأداة نفي لإظهار التضاد.,It is an antithesis between two similar or root-related words where one is preceded by a negation particle to create contrast.
40,طباق سلب بالمعنى,Notion negative antithesis (ṭibāq salb bi-l-maʿnā),هو تقابل يُبنى على وجود كلمة منفية تقابل معنى كلمة أخرى بحيث ينشأ التضاد من السياق لا من أصل المعنى.,It is an antithesis formed when one term is negated and its resulting meaning opposes another term through contextual contrast rather than inherent meaning.
41,كناية,Periphrasis (kināyah),هي عبارة تُستخدم للدلالة على معنى آخر مرتبط بها دلالة غير مباشرة مع بقاء العلاقة الواقعية بين اللفظ والمعنى المقصود.,It is a phrase used to suggest another meaning indirectly while maintaining a real associative relationship between the expression and the intended meaning.
42,كناية عائلية,Family periphrasis (kināyat ʿāʾilah),هي كناية يُستخدم فيها اسم أحد أفراد العائلة مرفقًا بصفة للدلالة على شخص يمتلك تلك الصفة بشكل غير مباشر.,It is a periphrasis in which a family-term combined with a quality is used to indirectly indicate a person who possesses that quality.
43,كناية عن الصفة,Attribute periphrasis (kināyah ʿan ṣifah),هي كناية يُفهم منها وصف أو صفة بشكل غير مباشر من خلال الكلام دون التصريح بها.,It is a periphrasis that indirectly suggests an attribute or quality without stating it explicitly.
44,كناية عن الفعل,Verb-periphrasis (kināyah ʿan fiʿl),هي كناية يُقصد بها الإشارة إلى فعل معيّن دون التصريح به مباشرة.,It is a periphrasis used to hint at an action without stating it explicitly.
45,كناية عن الموصوف,Object-periphrasis (kināyah ʿan mawṣūf),هي كناية يُشار فيها إلى شخص أو شيء بوصفه دون تسميته بشكل مباشر لإيصال المعنى عبر صفاته أو خصاله.,It is a periphrasis that refers to a person or object indirectly through description rather than naming it explicitly.
46,كناية عن النسبة,Assertion periphrasis (kināyah ʿan nisbah),هو أسلوب تُنسب فيه الصفة لشيء يخصّ الشخص بدلًا من نسبتها إليه مباشرة لإيصال المعنى بشكل غير مباشر.,It is an expression in which an attribute is assigned to something associated with a person rather than to the person directly to convey the meaning indirectly.
47,كناية لغوية,Linguistic periphrasis (kināyah lughawiyyah),هي كناية تُحذف فيها الكلمة الموصوفة ويُبقى على الصفة فقط للدلالة على الشيء المقصود بشكل غير مباشر.,"It is a periphrasis in which the qualified noun is omitted and only the adjective remains, indirectly indicating the intended object."
48,مبالغة,Hyperbole (mubālaghah),هي وصف يعتمد على تضخيم المعنى أو المبالغة فيه بما يتجاوز الحقيقة لإحداث تأثير بلاغي.,It is a description that intentionally exaggerates beyond reality to create a rhetorical impact.
49,مجاز عقلي,Intellectual trope (majāz ʿaqlī),هو إسناد الفعل لغير صاحبه الحقيقي داخل الجملة لإيصال معنى بلاغي عبر النقل الذهني.,It is attributing an action to something other than its real doer in the sentence to create a rhetorical mental shift.
50,مجاز مرسل,Synecdoche (majāz mursal),هو استعمال اسم لغير ما وضع له لوجود علاقة مجاورة أو ارتباط دون تشابه بينهما.,It is the use of a noun to refer to something else based on adjacency or an associative relation without similarity.
51,مقابلة تضادّ,Multiple contrast (muqābalat taḍādd),هو تقابل تقوم فيه كل كلمة في جملة بمخالفة كلمة مقابلة لها في جملة أخرى لإبراز التضاد.,It is an antithesis where each word in one sentence contrasts with a corresponding word in another sentence.
52,مقابلة نحوية,Grammatical parallelism (muqābalah naḥwiyyah),هو توازي جُمَل تحمل البنية النحوية نفسها لإحداث انتظام وإيقاع بلاغي في الكلام.,It is the presence of sentences sharing the same grammatical structure to create balance and rhetorical rhythm.
53,مناسبة لفظية,Verbal congruence (munāsabah lafẓiyyah),هو توافق في الألفاظ أو الصيغ داخل الجملة لإيجاد تناغم صوتي وبنائي.,It is the matching of word forms or structures within a sentence to create sound and structural harmony.
